Date,AAPL,AMZN,TSLA
7/22/11,12.117167,216.520004,5.858
7/25/11,12.277369,213.490005,5.698
7/26/11,12.42864,214.179993,5.6
7/27/11,12.09529,222.520004,5.528
7/28/11,12.071567,223.899994,5.634
7/29/11,12.030284,222.520004,5.634
8/1/11,12.223454,221.320007,5.754
8/2/11,11.981911,211.699997,5.468
8/3/11,12.094673,209.960007,5.44
8/4/11,11.626378,201.479996,4.95
8/5/11,11.510842,202.699997,4.848
8/8/11,10.882033,193.699997,4.728
8/9/11,11.522861,205.089996,5.012
8/10/11,11.204911,194.130005,4.764
8/11/11,11.513309,198.360001,5.06
8/12/11,11.614669,202.300003,5.262
8/15/11,11.812465,202.949997,5.246
8/16/11,11.722194,197.679993,5.22
8/17/11,11.72096,195.929993,5.166
8/18/11,11.27762,182.520004,4.852
8/19/11,10.968915,178.929993,4.46
8/22/11,10.981544,177.539993,4.39
8/23/11,11.510228,193.550003,4.592
8/24/11,11.589717,193.729996,4.774
8/25/11,11.513922,192.029999,4.622
8/26/11,11.817701,199.270004,4.746
8/29/11,12.014572,206.529999,4.942
8/30/11,12.015186,210.919998,4.926
8/31/11,11.856214,215.229996,4.948
9/1/11,11.739137,212.539993,4.8
9/2/11,11.524093,210,4.614
9/6/11,11.699395,216.179993,4.588
9/7/11,11.828485,219.899994,4.768
9/8/11,11.834956,217.259995,4.722
9/9/11,11.629766,211.389999,4.594
9/12/11,11.705557,216.559998,4.576
9/13/11,11.849741,219.529999,4.816
9/14/11,11.993929,222.570007,4.868
9/15/11,12.10669,226.779999,4.964
9/16/11,12.33899,239.300003,5.16
9/19/11,12.681893,241.690002,5.154
9/20/11,12.737964,233.25,5.202
9/21/11,12.697606,231.869995,5.17
9/22/11,12.379659,223.229996,5.126
9/23/11,12.456064,223.610001,5.276
9/26/11,12.421252,229.850006,5.104
9/27/11,12.300785,224.210007,5.238
9/28/11,12.231465,229.710007,4.918
9/29/11,12.033057,222.440002,4.824
9/30/11,11.748072,216.229996,4.878
10/3/11,11.541036,211.979996,4.746
10/4/11,11.476339,212.5,4.732
10/5/11,11.65349,219.5,5.074
10/6/11,11.626378,221.509995,5.392
10/7/11,11.393154,224.740005,5.398
10/10/11,11.978829,231.320007,5.576
10/11/11,12.332519,235.479996,5.522
10/12/11,12.391056,236.809998,5.56
10/13/11,12.583302,236.149994,5.588
10/14/11,13.00138,246.710007,5.61
10/17/11,12.939456,242.330002,5.484
10/18/11,13.008774,243.880005,5.668
10/19/11,12.281065,231.529999,5.514
